h,config,mol,sol_idx,sizes,angle_deg,clar_number,n_clar_covers,cbo_mean_hex,n_radicals,viewer_url
h6,no-freeze_no-table,2-7-8-9-15-16,48,6_7_6_5_6_6,0.0809,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-15-16&sol=48
h6,no-freeze,2-7-8-9-15-16,6,6_7_6_5_6_6,0.0809,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze&mol=2-7-8-9-15-16&sol=6
h6,adj-57_no-freeze_no-table,2-7-8-9-15-16,25,6_7_6_5_6_6,0.0809,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-7-8-9-15-16&sol=25
h6,adj-57_no-freeze,2-7-8-9-15-16,10,6_7_6_5_6_6,0.0809,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze&mol=2-7-8-9-15-16&sol=10
h6,no-freeze_no-table,2-7-8-9-16-17,87,6_5_6_7_6_6,0.0899,3,1,2.6042,0,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-16-17&sol=87
h6,adj-57_no-freeze_no-table,2-7-8-9-16-17,18,6_5_6_7_6_6,0.0899,3,1,2.6042,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-7-8-9-16-17&sol=18
h6,no-freeze_no-table,2-7-8-9-16-17,37,6_6_7_6_6_5,0.0940,3,1,2.6364,0,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-7-8-9-16-17&sol=37
h6,no-freeze,2-7-8-9-16-17,5,6_6_7_6_6_5,0.0940,3,1,2.6364,0,http://127.0.0.1:8765/?h=h6&config=no-freeze&mol=2-7-8-9-16-17&sol=5
h6,adj-57_no-freeze_no-table,2-7-8-9-16-17,25,6_6_7_6_6_5,0.0940,3,1,2.6364,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-7-8-9-16-17&sol=25
h6,adj-57_no-freeze,2-7-8-9-16-17,5,6_6_7_6_6_5,0.0940,3,1,2.6364,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze&mol=2-7-8-9-16-17&sol=5
h6,no-freeze_no-table,1-7-8-14-15-21,28,6_5_6_7_6_6,0.0960,3,1,2.6364,0,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-21&sol=28
h6,adj-57_no-freeze_no-table,1-7-8-14-15-21,12,6_5_6_7_6_6,0.0960,3,1,2.6364,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-14-15-21&sol=12
h6,no-table,1-7-8-15-16-23,45,6_6_7_6_6_5,0.1028,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-15-16-23&sol=45
h6,no-freeze_no-table,1-7-8-15-16-23,73,6_6_7_6_6_5,0.1028,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=73
h6,adj-57_no-table,1-7-8-15-16-23,12,6_6_7_6_6_5,0.1028,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=1-7-8-15-16-23&sol=12
h6,adj-57_no-freeze_no-table,1-7-8-15-16-23,37,6_6_7_6_6_5,0.1028,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-23&sol=37
h6,no-freeze_no-table,1-7-8-15-16-23,71,6_7_5_6_6_6,0.1072,3,2,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=71
h6,adj-57_no-freeze_no-table,1-7-8-15-16-23,36,6_7_5_6_6_6,0.1072,3,2,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-23&sol=36
h6,no-freeze_no-table,2-9-14-15-16-23,130,6_6_5_6_7_6,0.1146,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-9-14-15-16-23&sol=130
h6,adj-57_no-freeze_no-table,2-9-14-15-16-23,26,6_6_5_6_7_6,0.1146,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-9-14-15-16-23&sol=26
h6,no-freeze_no-table,2-3-7-8-9-16,130,6_6_5_6_7_6,0.1189,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-16&sol=130
h6,adj-57_no-freeze_no-table,2-3-7-8-9-16,26,6_6_5_6_7_6,0.1189,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-3-7-8-9-16&sol=26
h6,no-freeze_no-table,2-9-14-15-16-23,58,6_5_6_6_7_6,0.1224,3,2,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-9-14-15-16-23&sol=58
h6,no-freeze_no-table,0-7-15-23-31-32,50,6_6_6_5_7_6,0.1236,3,1,2.6042,0,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-15-23-31-32&sol=50
h6,adj-57_no-freeze_no-table,0-7-15-23-31-32,22,6_6_6_5_7_6,0.1236,3,1,2.6042,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=0-7-15-23-31-32&sol=22
h6,no-freeze_no-table,2-9-14-15-16-23,132,6_6_5_6_6_7,0.1240,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-9-14-15-16-23&sol=132
h6,no-table,1-7-8-14-15-22,35,6_5_6_7_6_6,0.1325,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-14-15-22&sol=35
h6,no-freeze_no-table,1-7-8-14-15-22,53,6_5_6_7_6_6,0.1325,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=53
h6,adj-57_no-table,1-7-8-14-15-22,11,6_5_6_7_6_6,0.1325,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=1-7-8-14-15-22&sol=11
h6,adj-57_no-freeze_no-table,1-7-8-14-15-22,54,6_5_6_7_6_6,0.1325,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-14-15-22&sol=54
h6,no-freeze_no-table,1-7-8-14-15-22,86,6_6_5_7_6_6,0.1377,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=86
h6,adj-57_no-freeze_no-table,1-7-8-14-15-22,52,6_6_5_7_6_6,0.1377,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-14-15-22&sol=52
h6,no-freeze_no-table,3-7-10-15-16-17,50,6_6_6_5_7_6,0.1379,3,1,2.6042,0,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=3-7-10-15-16-17&sol=50
h6,adj-57_no-freeze_no-table,3-7-10-15-16-17,22,6_6_6_5_7_6,0.1379,3,1,2.6042,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=3-7-10-15-16-17&sol=22
h6,no-freeze_no-table,1-7-8-14-15-22,127,6_7_5_6_6_6,0.1392,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=127
h6,no-freeze,1-7-8-14-15-22,4,6_7_5_6_6_6,0.1392,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze&mol=1-7-8-14-15-22&sol=4
h6,no-table,1-7-8-15-16-23,44,6_6_7_6_5_6,0.1433,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-table&mol=1-7-8-15-16-23&sol=44
h6,no-freeze_no-table,1-7-8-15-16-23,57,6_6_7_6_5_6,0.1433,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-23&sol=57
h6,adj-57_no-table,1-7-8-15-16-23,11,6_6_7_6_5_6,0.1433,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=1-7-8-15-16-23&sol=11
h6,adj-57_no-freeze_no-table,1-7-8-15-16-23,21,6_6_7_6_5_6,0.1433,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-23&sol=21
h6,no-freeze_no-table,2-9-14-15-16-23,133,6_6_7_6_6_5,0.1471,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-9-14-15-16-23&sol=133
h6,no-freeze_no-table,3-7-8-9-10-16,48,6_7_6_5_6_6,0.1525,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=3-7-8-9-10-16&sol=48
h6,adj-57_no-freeze_no-table,3-7-8-9-10-16,18,6_7_6_5_6_6,0.1525,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=3-7-8-9-10-16&sol=18
h6,no-freeze_no-table,1-7-8-15-16-22,20,6_6_7_6_6_5,0.1596,3,1,2.5000,0,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-15-16-22&sol=20
h6,adj-57_no-freeze_no-table,1-7-8-15-16-22,5,6_6_7_6_6_5,0.1596,3,1,2.5000,0,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-15-16-22&sol=5
h6,no-freeze_no-table,1-7-8-14-15-22,138,6_6_7_5_6_6,0.1645,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=1-7-8-14-15-22&sol=138
h6,adj-57_no-freeze_no-table,1-7-8-14-15-22,28,6_6_7_5_6_6,0.1645,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=1-7-8-14-15-22&sol=28
h6,no-freeze_no-table,2-8-9-14-15-22,17,5_7_6_6_6_6,0.1714,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-8-9-14-15-22&sol=17
h6,adj-57_no-freeze_no-table,2-8-9-14-15-22,14,5_7_6_6_6_6,0.1714,3,1,,1,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=2-8-9-14-15-22&sol=14
h6,no-freeze_no-table,2-9-14-15-16-23,134,6_6_7_6_5_6,0.1715,3,1,,1,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-9-14-15-16-23&sol=134
