h,config,mol,sol_idx,sizes,angle_deg,n_radicals,clar_number,n_kekule,viewer_url
h6,no-freeze_no-table,2-8-9-14-15-16,42,7_5_5_5_7_7,0.0281,2,0,3,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-8-9-14-15-16&sol=42
h6,no-table,0-7-8-14-15-16,33,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=no-table&mol=0-7-8-14-15-16&sol=33
h6,no-freeze_no-table,0-7-8-14-15-16,33,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-8-14-15-16&sol=33
h6,adj-57_no-table,0-7-8-14-15-16,21,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=0-7-8-14-15-16&sol=21
h6,adj-57_no-freeze_no-table,0-7-8-14-15-16,21,7_5_5_7_5_7,0.0353,2,1,59,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=0-7-8-14-15-16&sol=21
h6,no-table,0-7-8-15-16-23,53,7_5_5_6_6_7,0.0661,2,2,49,http://127.0.0.1:8765/?h=h6&config=no-table&mol=0-7-8-15-16-23&sol=53
h6,no-freeze_no-table,0-7-8-15-16-23,53,7_5_5_6_6_7,0.0661,2,2,49,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-8-15-16-23&sol=53
h6,no-freeze_no-table,2-3-7-8-9-10,53,7_7_5_5_5_7,0.0928,2,1,5,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-10&sol=53
h6,no-table,0-7-8-14-15-16,31,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=no-table&mol=0-7-8-14-15-16&sol=31
h6,no-freeze_no-table,0-7-8-14-15-16,31,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=0-7-8-14-15-16&sol=31
h6,adj-57_no-table,0-7-8-14-15-16,17,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=adj-57_no-table&mol=0-7-8-14-15-16&sol=17
h6,adj-57_no-freeze_no-table,0-7-8-14-15-16,17,6_5_6_7_5_7,0.1054,2,2,58,http://127.0.0.1:8765/?h=h6&config=adj-57_no-freeze_no-table&mol=0-7-8-14-15-16&sol=17
h6,no-freeze_no-table,2-8-9-14-15-16,33,6_7_5_5_6_7,0.1135,2,1,5,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-8-9-14-15-16&sol=33
h6,no-table,2-3-7-8-9-10,8,7_6_6_5_5_7,0.1328,2,1,3,http://127.0.0.1:8765/?h=h6&config=no-table&mol=2-3-7-8-9-10&sol=8
h6,no-freeze_no-table,2-3-7-8-9-10,79,7_6_6_5_5_7,0.1328,2,1,3,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-10&sol=79
h6,no-freeze_no-table,2-3-7-8-9-10,80,6_7_6_5_5_7,0.2028,2,2,5,http://127.0.0.1:8765/?h=h6&config=no-freeze_no-table&mol=2-3-7-8-9-10&sol=80
h6,no-table,2-8-9-14-15-16,6,7_6_5_5_6_7,0.5699,2,0,3,http://127.0.0.1:8765/?h=h6&config=no-table&mol=2-8-9-14-15-16&sol=6
